"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12153","should handle very long username input","chromium","Mon Apr 27 08:28:44 IST 2026","failed","Mon Apr 27 08:28:56 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","3160","should display credential hint box","Google Chrome","Mon Apr 27 08:29:33 IST 2026","passed","Mon Apr 27 08:29:36 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
"","11672","should handle special characters in username","chromium","Mon Apr 27 08:28:41 IST 2026","failed","Mon Apr 27 08:28:53 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","11297","should login successfully with valid credentials","chromium","Mon Apr 27 08:28:01 IST 2026","failed","Mon Apr 27 08:28:12 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
"","11733","should handle username with leading/trailing spaces","chromium","Mon Apr 27 08:28:24 IST 2026","failed","Mon Apr 27 08:28:36 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","12085","should handle password with leading/trailing spaces","chromium","Mon Apr 27 08:28:34 IST 2026","failed","Mon Apr 27 08:28:47 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","13371","should allow clearing fields and re-entering data","Google Chrome","Mon Apr 27 08:30:41 IST 2026","failed","Mon Apr 27 08:30:54 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","13593","should show error for invalid username","Google Chrome","Mon Apr 27 08:29:36 IST 2026","failed","Mon Apr 27 08:29:50 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","14115","should show error for invalid password","Google Chrome","Mon Apr 27 08:29:52 IST 2026","failed","Mon Apr 27 08:30:06 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","13634","should accept username description as optional field","Google Chrome","Mon Apr 27 08:29:36 IST 2026","failed","Mon Apr 27 08:29:50 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
"","14762","should handle special characters in username","Google Chrome","Mon Apr 27 08:30:23 IST 2026","failed","Mon Apr 27 08:30:38 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","11677","should show error for case-sensitive username","chromium","Mon Apr 27 08:28:28 IST 2026","failed","Mon Apr 27 08:28:39 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","11813","should show error for invalid password","chromium","Mon Apr 27 08:28:10 IST 2026","failed","Mon Apr 27 08:28:22 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","3164","should have username and password as required fields","Google Chrome","Mon Apr 27 08:29:33 IST 2026","passed","Mon Apr 27 08:29:36 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
"","13521","should show error for case-sensitive password","Google Chrome","Mon Apr 27 08:30:05 IST 2026","failed","Mon Apr 27 08:30:18 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","11798","should show error for both invalid credentials","chromium","Mon Apr 27 08:28:15 IST 2026","failed","Mon Apr 27 08:28:27 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","1462","should display credential hint box","chromium","Mon Apr 27 08:28:02 IST 2026","passed","Mon Apr 27 08:28:04 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
"","15945","should handle password with leading/trailing spaces","Google Chrome","Mon Apr 27 08:30:13 IST 2026","failed","Mon Apr 27 08:30:29 IST 2026","Login Page Tests > Edge Tests","web\specs\login.spec.ts","",""
"","1721","should not login with empty username (HTML validation)","chromium","Mon Apr 27 08:28:21 IST 2026","passed","Mon Apr 27 08:28:22 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","14403","should show error for case-sensitive username","Google Chrome","Mon Apr 27 08:30:02 IST 2026","failed","Mon Apr 27 08:30:17 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","4776","should show success message with correct username","Google Chrome","Mon Apr 27 08:29:36 IST 2026","failed","Mon Apr 27 08:29:41 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
"","11730","should accept username description as optional field","chromium","Mon Apr 27 08:28:04 IST 2026","failed","Mon Apr 27 08:28:16 IST 2026","Login Page Tests > Positive Tests","web\specs\login.spec.ts","",""
"","1342","should display the login form heading","chromium","Mon Apr 27 08:28:02 IST 2026","passed","Mon Apr 27 08:28:04 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
"","13590","should show error for both invalid credentials","Google Chrome","Mon Apr 27 08:29:53 IST 2026","failed","Mon Apr 27 08:30:07 IST 2026","Login Page Tests > Negative Tests","web\specs\login.spec.ts","",""
"","1513","should have username and password as required fields","chromium","Mon Apr 27 08:28:03 IST 2026","passed","Mon Apr 27 08:28:04 IST 2026","Login Page Tests > UI Validation","web\specs\login.spec.ts","",""
